Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Classification
1. The Shawshank Redemption,1994,2h 22m,8.6,82,2.9M,R(A)
2. The Godfather,1972,2h 55m,8.6,100,2M,M18
3. The Godfather: Part II,1974,3h 22m,8.6,90,1.4M,PG
4. The Dark Knight,2008,2h 32m,8.6,84,2.9M,PG
5. 12 Angry Men,1957,1h 36m,8.6,97,874K,PG
6. Schindler's List,1993,3h 15m,8.6,95,1.5M,R(A)
7. The Lord of the Rings: The Return of the King,2003,3h 21m,8.6,94,2M,PG
8. Pulp Fiction,1994,2h 34m,8.6,95,2.2M,R
"9. The Good, the Bad and the Ugly",1966,2h 41m,8.6,90,817K,PG
10. Fight Club,1999,2h 19m,8.6,67,2.3M,R(A)
11. Joker,2019,2h 2m,8.6,59,1.5M,NC16
12. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.6,92,2M,PG
13. Forrest Gump,1994,2h 22m,8.6,82,2.3M,PG
14. Inception,2010,2h 28m,8.6,74,2.6M,PG
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.6,82,1.4M,PG
16. The Lord of the Rings: The Two Towers,2002,2h 59m,8.6,87,1.8M,PG
17. The Matrix,1999,2h 16m,8.6,73,2.1M,PG
18. One Flew Over the Cuckoo's Nest,1975,2h 13m,8.6,84,1.1M,PG
19. GoodFellas,1990,2h 25m,8.6,92,1.3M,M18
20. Seven Samurai,1954,3h 27m,8.6,98,369K,PG
21. Se7en,1995,2h 7m,8.6,65,1.8M,M18
22. City of God,2002,2h 10m,8.6,79,806K,R21
23. Life Is Beautiful,1997,1h 56m,8.6,58,748K,PG
24. The Silence of the Lambs,1991,1h 58m,8.6,86,1.6M,PG
25. Star Wars,1977,2h 1m,8.6,90,1.5M,PG
